Month	Precip(in)	Temp(C)	Height(in)	NumDeer	NumHunters
0	5.000000	4.444445	6.730406	1	1
1	9.181139	5.431137	13.930195	1	1
2	10.497192	12.173174	14.582325	2	1
3	13.165249	13.738090	14.023111	2	2
4	9.047523	19.732517	13.027188	3	2
5	8.815817	25.362083	11.527194	2	3
6	4.264742	21.132084	10.527888	1	2
7	2.633333	20.874994	10.028627	2	1
8	0.300015	15.265779	9.098888	2	2
9	0.630068	1.640290	10.676118	1	2
10	3.093272	-0.523485	12.407833	2	1
11	6.149731	-0.919980	14.122908	2	2
12	6.706902	-0.703653	16.164261	2	2
13	8.340752	0.643997	20.038404	2	2
14	12.820099	11.631529	20.424259	3	2
15	12.771747	8.915558	22.800678	4	3
16	11.844660	22.146301	20.800980	3	4
17	7.977618	24.989849	19.300989	1	3
18	5.872496	16.360981	18.868746	1	2
19	0.164326	14.327380	18.497152	2	1
20	0.000000	15.474713	17.554274	2	2
21	0.452907	5.537421	19.647661	3	2
22	0.000000	-1.537797	19.070719	4	3
23	2.989425	-2.513618	18.090233	5	4
24	8.465117	1.948138	21.975420	6	5
25	9.624565	5.471664	26.695650	5	6
26	11.687260	11.336640	25.864103	4	5
27	12.809584	18.195929	23.880243	4	4
28	9.752615	14.979576	22.099566	5	4
29	6.391709	23.528908	19.599619	5	5
30	5.607851	18.731350	17.108473	6	5
31	0.550581	16.722719	14.133247	6	6
32	1.681353	7.515488	14.083433	5	6
33	1.311086	8.207434	13.960060	4	5
34	0.000000	4.157202	14.895239	5	4
35	4.881069	-4.689386	12.807696	4	5
36	7.981109	-4.965793	11.243563	5	4
37	10.615374	6.305101	15.867670	6	5
38	12.484432	2.375524	19.414831	7	6
39	12.123937	10.921294	17.879187	4	7
40	11.373221	19.740173	15.883194	4	6
41	8.343805	21.711845	13.883690	3	5
42	5.984952	18.911964	12.391415	4	4
43	2.707263	22.504175	10.391536	5	4
44	0.000000	14.906544	7.976381	5	5
45	0.000000	7.370821	7.706329	6	5
46	1.303368	6.135915	8.129025	7	6
47	3.563471	-5.256714	4.879577	8	7
48	7.626683	3.407449	8.182491	6	8
49	11.240330	2.721312	12.337809	4	7
50	12.233768	5.852867	17.474676	5	6
51	12.017252	13.009317	15.687857	2	5
52	12.078140	17.494884	14.718605	3	4
53	6.697621	25.819016	13.218608	3	3
54	5.417292	24.395506	11.718624	4	3
55	2.259974	19.512985	9.721429	4	4
56	1.091217	7.547817	10.369246	5	4
57	0.000000	9.757966	9.048256	4	5
58	2.921486	-2.424242	8.099309	4	4
59	5.725375	-5.148608	6.437229	5	4
60	9.036147	-3.802056	4.812517	5	5
61	8.507021	6.752964	8.895472	3	5
62	12.367016	11.065788	9.222931	4	4
63	11.002904	17.377388	7.258019	4	4
64	10.770334	20.334265	5.260247	4	4
65	5.666101	24.731449	3.260257	4	4
66	2.959639	19.911818	1.262353	1	4
67	2.288654	21.607721	0.762669	2	3
68	0.029671	17.586538	0.000000	1	2
69	0.289529	8.178185	1.483428	0	1
70	0.094939	2.385911	4.097848	0	0
71	3.776723	1.953638	8.539989	1	0
